clean_date,hour,pm 2.5 (Plume AQI),pm 10 (Plume AQI)
2020-01-25,3,41.2,24.6
2020-01-25,4,38.6,22.4
2020-01-25,5,45.4,40.5
2020-01-25,6,41.2,47.8
2020-01-25,7,23.6,23.0
2020-01-25,8,20.2,26.8
2020-01-25,9,21.3,26.7
2020-01-25,10,30.5,27.1
2020-01-25,11,35.7,32.3
2020-01-25,12,41.9,33.2
2020-01-25,13,38.4,32.3
2020-01-25,14,34.7,32.8
2020-01-25,15,59.4,38.5
2020-01-25,16,64.1,40.0
2020-01-25,17,46.4,35.7
2020-01-25,18,38.7,27.8
2020-01-25,19,38.7,24.3
2020-01-26,7,27.8,34.5
2020-01-26,8,27.4,43.0
2020-01-26,9,29.0,38.4
2020-01-26,10,29.5,38.6
2020-01-26,11,32.6,58.0
2020-01-26,12,26.9,33.6
2020-01-26,13,24.2,30.0
2020-01-26,14,24.1,36.9
2020-01-26,15,16.3,22.6
2020-01-26,16,30.4,28.1
2020-01-26,17,25.1,17.0
2020-01-26,18,25.2,14.4
2020-01-26,19,25.3,15.1
2020-01-26,20,28.1,16.8
2020-01-26,21,31.4,18.6
2020-01-26,22,33.6,19.3
2020-01-26,23,33.8,18.5
2020-01-27,0,34.7,18.6
2020-01-27,1,35.3,19.1
2020-01-27,2,29.2,16.2
2020-01-27,3,34.0,18.6
2020-01-27,4,30.9,17.8
2020-01-27,5,30.7,20.6
2020-01-27,6,24.6,17.7
2020-01-27,7,5.0,3.6
2020-01-27,8,8.7,12.5
2020-01-27,9,17.1,15.6
2020-01-27,10,26.7,17.0
2020-01-27,11,21.0,15.2
2020-01-27,12,26.0,17.5
2020-01-27,13,25.1,27.1
2020-01-27,14,40.8,41.1
2020-01-27,15,42.4,48.3
2020-01-27,16,28.8,24.5
2020-01-27,17,20.6,20.3
2020-01-27,18,37.8,22.4
2020-01-27,19,30.6,61.1
2020-01-27,20,19.5,49.1
2020-01-27,21,20.6,34.0
2020-01-27,22,16.7,18.4
2020-01-27,23,13.0,19.2
2020-01-28,0,14.6,17.8
2020-01-28,1,14.2,18.9
2020-01-28,2,14.5,22.6
2020-01-28,3,14.7,24.5
2020-01-28,4,13.6,20.2
2020-01-28,5,14.8,24.0
2020-01-28,6,23.8,37.0
2020-01-28,7,12.1,22.0
2020-01-28,8,11.3,18.3
2020-01-28,9,13.1,21.3
2020-01-28,10,21.6,17.9
2020-01-28,11,22.5,15.1
2020-01-28,12,23.8,15.8
2020-01-28,13,26.7,16.5
2020-01-28,14,25.2,15.4
2020-01-28,15,20.2,16.9
2020-01-28,16,24.5,17.1
2020-01-28,17,32.0,21.5
2020-01-28,18,34.2,23.3
2020-01-28,19,42.1,49.3
2020-01-28,20,52.6,102.0
2020-01-28,21,18.8,30.6
2020-01-28,22,15.7,22.5
2020-01-28,23,15.3,21.2
2020-01-29,0,14.9,21.0
2020-01-29,1,12.2,19.2
2020-01-29,2,14.2,21.6
2020-01-29,3,16.5,30.2
2020-01-29,4,12.8,21.8
2020-01-29,5,14.8,27.9
2020-01-29,6,16.8,32.8
2020-01-29,7,22.0,43.1
2020-01-29,8,17.6,21.0
2020-01-29,9,23.2,17.1
2020-01-29,10,18.6,16.9
2020-01-29,11,16.1,21.6
2020-01-29,12,19.1,18.9
2020-01-29,13,14.1,22.1
2020-01-29,14,18.1,21.5
2020-01-29,15,20.3,17.8
2020-01-29,16,23.6,19.4
2020-01-29,17,25.7,29.5
2020-01-29,18,13.6,28.1
2020-01-29,19,24.2,47.1
2020-01-29,20,23.2,58.5
2020-01-29,21,11.8,25.1
2020-01-29,22,12.3,22.2
2020-01-29,23,15.9,27.2
2020-01-30,0,13.2,25.8
2020-01-30,1,10.3,21.1
2020-01-30,2,11.4,23.3
2020-01-30,3,15.0,33.0
2020-01-30,4,17.8,32.1
2020-01-30,5,10.8,27.0
2020-01-30,6,13.0,30.8
2020-01-30,7,25.2,40.9
2020-01-30,8,25.3,37.9
2020-01-30,9,17.7,27.6
2020-01-30,10,15.8,24.7
2020-01-30,11,21.9,29.1
2020-01-30,12,18.7,26.9
2020-01-30,13,15.5,25.8
2020-01-30,14,18.9,21.3
2020-01-30,15,39.9,35.5
2020-01-30,16,33.9,41.0
2020-01-30,17,26.1,29.6
2020-01-30,18,16.6,24.0
2020-01-30,19,10.6,21.4
2020-01-30,20,6.6,16.0
2020-01-30,21,6.9,16.6
2020-01-30,22,7.3,17.8
2020-01-30,23,8.9,20.6
2020-01-31,0,6.6,17.3
2020-01-31,1,6.0,15.2
2020-01-31,2,6.1,15.4
2020-01-31,3,6.7,16.5
2020-01-31,4,8.4,19.0
2020-01-31,5,10.0,20.0
2020-01-31,6,12.4,21.6
2020-01-31,7,20.6,30.5
2020-01-31,8,16.7,26.6
2020-01-31,9,11.5,19.1
2020-01-31,10,12.1,18.2
2020-01-31,11,22.3,16.8
2020-01-31,12,23.0,14.3
2020-01-31,13,18.8,16.4
2020-01-31,14,21.5,16.1
2020-01-31,15,21.1,14.1
2020-01-31,16,28.2,21.8
2020-01-31,17,28.2,18.3
2020-01-31,18,26.8,18.2
2020-01-31,19,17.3,27.2
2020-01-31,20,12.0,24.1
2020-01-31,21,10.4,20.4
2020-01-31,22,10.8,20.3
2020-01-31,23,12.2,22.0
2020-02-01,0,11.6,21.8
2020-02-01,1,10.0,19.2
2020-02-01,2,10.0,19.1
2020-02-01,3,10.7,22.2
2020-02-01,4,10.6,21.4
2020-02-01,5,11.8,23.4
2020-02-01,6,11.8,22.3
2020-02-01,7,13.0,23.3
2020-02-01,8,14.2,25.4
2020-02-01,9,12.8,22.3
2020-02-01,10,15.2,26.9
2020-02-01,11,23.0,35.1
2020-02-01,12,20.7,48.4
2020-02-01,13,27.3,72.7
2020-02-01,14,23.5,67.2
2020-02-01,15,28.5,44.1
2020-02-01,16,19.1,26.2
2020-02-01,17,18.3,28.1
2020-02-01,18,22.8,24.7
2020-02-01,19,35.1,35.5
2020-02-01,20,62.6,35.8
2020-02-01,21,69.6,37.9
2020-02-01,22,79.3,43.4
2020-02-01,23,79.2,42.1
2020-02-02,0,72.4,40.5
2020-02-02,1,67.1,37.2
2020-02-02,2,62.5,35.1
2020-02-02,3,59.2,35.1
2020-02-02,4,53.3,36.1
2020-02-02,5,48.8,35.7
2020-02-02,6,43.4,29.5
2020-02-02,7,40.6,33.5
2020-02-02,8,34.6,28.2
2020-02-02,9,29.0,21.0
2020-02-02,10,24.8,16.7
2020-02-02,11,21.6,15.8
2020-02-02,12,19.0,17.1
2020-02-02,13,17.0,16.5
2020-02-02,14,14.7,15.2
2020-02-02,15,14.5,15.5
2020-02-02,16,14.1,16.2
2020-02-02,17,23.2,26.9
2020-02-02,18,22.7,36.8
2020-02-02,19,23.4,23.2
2020-02-02,20,23.8,27.1
2020-02-02,21,21.8,23.8
2020-02-02,22,21.8,25.9
2020-02-02,23,22.8,21.0
2020-02-03,0,25.2,18.7
2020-02-03,1,26.1,17.9
2020-02-03,2,27.6,17.6
2020-02-03,3,26.9,17.5
2020-02-03,4,26.9,18.3
2020-02-03,5,25.3,17.0
2020-02-03,6,26.9,20.7
2020-02-03,7,24.0,27.9
2020-02-03,8,16.4,31.5
2020-02-03,9,33.4,23.5
2020-02-03,10,41.2,25.5
2020-02-03,11,64.2,33.5
2020-02-03,12,58.5,31.6
2020-02-03,13,64.0,35.4
2020-02-03,14,44.1,35.7
2020-02-03,15,30.4,24.1
2020-02-03,16,17.9,20.0
2020-02-03,17,21.7,23.4
2020-02-03,18,38.3,23.4
2020-02-03,19,22.1,24.2
2020-02-03,20,8.3,16.6
2020-02-03,21,11.4,21.6
2020-02-03,22,12.4,17.5
2020-02-03,23,14.2,16.7
2020-02-04,0,13.2,14.9
2020-02-04,1,13.4,16.1
2020-02-04,2,13.8,15.9
2020-02-04,3,13.2,15.0
2020-02-04,4,15.5,23.8
2020-02-04,5,15.4,22.2
2020-02-04,6,17.8,28.2
2020-02-04,7,18.8,27.4
2020-02-04,8,16.8,23.6
2020-02-04,9,16.1,34.0
2020-02-04,10,18.9,32.1
2020-02-04,11,39.9,41.5
2020-02-04,12,45.7,35.3
2020-02-04,13,39.6,29.4
2020-02-04,14,32.3,23.5
2020-02-04,15,37.0,23.1
2020-02-04,16,30.6,21.7
2020-02-04,17,31.4,23.1
2020-02-04,18,37.0,21.3
2020-02-04,19,32.6,30.9
2020-02-04,20,12.5,18.0
2020-02-04,21,11.8,18.8
2020-02-04,22,11.2,17.2
2020-02-04,23,11.6,17.2
2020-02-05,0,11.0,17.9
2020-02-05,1,10.2,17.2
2020-02-05,2,10.0,18.2
2020-02-05,3,10.6,21.1
2020-02-05,4,11.2,25.0
2020-02-05,5,13.9,33.1
2020-02-05,6,16.0,39.7
2020-02-05,7,18.8,48.0
2020-02-05,8,17.2,43.6
2020-02-05,17,33.4,16.7
2020-02-05,18,27.5,15.2
2020-02-05,19,29.4,17.0
2020-02-05,20,6.9,11.4
2020-02-05,21,9.5,19.0
2020-02-05,22,10.4,19.8
2020-02-05,23,10.7,21.0
2020-02-06,0,9.5,19.2
2020-02-06,1,11.7,21.8
2020-02-06,8,6.8,17.0
2020-02-06,9,6.0,14.5
2020-02-06,10,7.0,14.2
2020-02-06,11,6.3,11.8
2020-02-06,12,7.8,14.9
2020-02-06,13,5.3,12.3
2020-02-06,14,6.1,14.1
2020-02-06,15,6.3,14.0
2020-02-06,16,5.6,13.7
2020-02-06,17,7.6,16.9
2020-02-06,18,7.6,16.1
2020-02-06,19,6.5,14.6
2020-02-06,20,13.4,18.9
2020-02-06,21,25.8,21.8
2020-02-06,22,18.0,19.3
2020-02-06,23,7.0,15.2
2020-02-07,0,6.1,15.9
2020-02-07,1,5.2,15.0
2020-02-07,2,4.5,13.3
2020-02-07,3,5.2,15.1
2020-02-07,4,5.7,16.2
2020-02-07,5,6.2,17.8
2020-02-07,6,19.3,20.5
2020-02-07,7,74.3,49.9
2020-02-07,8,49.9,32.9
2020-02-07,9,89.8,56.2
2020-02-07,10,16.4,22.3
2020-02-07,11,62.0,45.2
2020-02-07,12,69.9,43.4
2020-02-07,13,72.5,48.6
2020-02-07,14,59.1,35.4
2020-02-07,15,83.7,49.0
2020-02-07,16,15.9,20.7
2020-02-07,17,60.0,37.5
2020-02-10,9,17.6,17.0
2020-02-10,10,20.1,15.8
2020-02-10,11,29.9,17.2
2020-02-10,12,22.2,23.0
2020-02-10,13,25.5,16.7
2020-02-10,14,18.5,15.2
2020-02-10,15,20.5,18.1
2020-02-10,16,16.6,14.5
2020-02-10,17,28.0,70.4
2020-02-10,18,30.3,87.5
2020-02-10,19,21.4,52.1
2020-02-10,20,12.4,22.4
2020-02-10,21,10.3,21.6
2020-02-10,22,10.7,22.4
2020-02-10,23,11.2,21.6
2020-02-11,0,10.6,20.8
2020-02-11,1,11.2,21.7
2020-02-11,2,10.0,22.5
2020-02-11,3,10.5,23.5
2020-02-11,4,10.0,22.7
2020-02-11,5,11.0,23.5
2020-02-11,6,12.7,26.8
2020-02-11,7,14.4,26.1
2020-02-11,8,20.3,43.7
2020-02-11,9,14.8,28.0
2020-02-11,10,13.7,23.8
2020-02-11,11,14.6,21.6
2020-02-11,12,26.1,22.1
2020-02-11,13,22.1,20.4
2020-02-11,14,32.9,24.6
2020-02-11,15,31.1,23.2
2020-02-11,16,29.9,59.2
2020-02-11,17,30.1,81.3
2020-02-11,18,31.7,56.4
2020-02-11,19,36.8,95.2
2020-02-11,20,30.6,75.3
2020-02-11,21,30.6,54.3
2020-02-11,22,20.9,33.8
2020-02-11,23,13.9,23.8
2020-02-12,0,14.4,22.4
2020-02-12,1,14.1,23.4
2020-02-12,2,14.8,21.3
2020-02-12,3,18.8,37.3
2020-02-12,4,11.2,22.9
2020-02-12,5,11.4,24.3
2020-02-12,6,12.4,23.3
2020-02-12,7,13.8,26.3
2020-02-12,8,19.3,37.7
2020-02-12,9,26.2,40.5
2020-02-12,10,28.4,32.3
2020-02-12,11,23.8,38.1
2020-02-12,12,47.4,95.8
2020-02-12,13,38.3,57.5
2020-02-12,14,33.4,29.0
2020-02-12,15,33.5,24.6
2020-02-12,16,27.8,44.6
2020-02-12,17,16.6,39.8
2020-02-12,18,15.2,33.4
2020-02-12,19,33.4,42.1
2020-02-12,20,22.0,35.4
2020-02-12,21,17.0,23.7
2020-02-12,22,15.5,23.8
2020-02-12,23,13.1,22.9
2020-02-13,0,12.8,20.0
2020-02-13,1,11.7,20.4
2020-02-13,2,11.6,19.2
2020-02-13,3,11.2,20.1
2020-02-13,4,12.7,26.1
2020-02-13,5,12.3,21.2
2020-02-13,6,12.4,21.2
2020-02-13,7,12.5,21.2
2020-02-13,8,11.8,21.3
2020-02-13,9,20.2,33.1
