date,region_unit,area,address,total_tests,positive_tests,male,female,median_age,lat,long,positivity
11/20/20,Π.Ε. Λάρισας,Δήμος Αγιάς,"Δήμος Αγιάς, Λάρισα",114,2,2.0,,57.0,39.7190695,22.7586904,1.8
11/25/20,Π.Ε. Καστοριάς,Καστοριά,"Λεωφόρος Κύκνων 31, Καστοριά",60,1,1.0,,37.0,40.5171357,21.255256,1.7
12/4/20,Π.Ε. Τρικάλων,Τρίκαλα,Πύλη Τρικάλων,175,3,1.0,2.0,38.0,39.45977999999999,21.6225718,1.7
11/1/20,Περιφέρεια Αττικής,Μαρούσι,Πλατεία Ευτέρπης,850,14,5.0,9.0,38.0,38.042770000000004,23.7616641,1.6
11/23/20,Π.Ε. Ρόδου,Ρόδος,"Αρχάγγελος, Ρόδος",129,2,2.0,,61.0,36.2145292,28.116926,1.6
10/8/20,Περιφέρεια Αττικής,Πειραιάς,Δημοτικό θέατρο Πειραιά,585,9,,,,37.9433016,23.6468891,1.5
10/15/20,Π.Ε. Ιωαννίνων,Ιωάννινα,Διοικητήριο περιφέρειας Ηπείρου,753,11,7.0,4.0,35.0,39.665028799999995,20.8537466,1.5
11/28/20,Π.Ε. Βοιωτίας,Αλίαρτος,Αλίαρτος,144,2,2.0,,36.0,38.3726,23.09915,1.4
10/5/20,Π.Ε. Πέλλας,Πέλλα,"Δήμους Έδεσσας, Αλμωπίας, Σκύδρας και Πέλλας",1479,20,,,,40.801680299999994,22.043979800000002,1.4
9/25/20,Περιφέρεια Αττικής,Αθήνα,Πλατεία Κυψέλης,1600,20,,,,38.002779100000005,23.741635100000003,1.2
12/2/20,Π.Ε. Τρικάλων,Τρίκαλα,"Φαρκαδόνα, Τρίκαλα",82,1,,1.0,55.0,39.5931322,22.0668864,1.2
10/14/20,Π.Ε. Ιωαννίνων,Ιωάννινα,Ιωάννινα,2019,25,14.0,11.0,34.0,39.665028799999995,20.8537466,1.2
10/14/20,Περιφέρεια Αττικής,Νίκαια,Πλατεία Αγίου Νικολάου,573,7,4.0,3.0,52.0,37.9661956,23.647050600000004,1.2
11/17/20,Π.Ε. Καστοριάς,Καστοριά,"Λεωφόρος Κύκνων, Καστοριά",85,1,1.0,,65.0,40.515066100000006,21.2544766,1.2
11/6/20,Π.Ε. Δυτικής Αττικής,Ελευσίνα,"Πλατεία Ηρώων, Ελευσίνα",660,7,6.0,1.0,38.0,38.0426402,23.5404673,1.1
10/21/20,Περιφέρεια Αττικής,Νέα Σμύρνη,Πλατεία Νέας Σμύρνης,616,7,4.0,3.0,45.5,37.9466482,23.7146172,1.1
10/22/20,Π.Ε. Ιωαννίνων,Μέτσοβο,Μέτσοβο,463,5,,,,39.7702467,21.182861199999998,1.1
12/1/20,Π.Ε. Αργολίδας,Αργολίδα,Επαρχιακή Οδός Κρανιδίου,203,2,2.0,,40.0,37.3779646,23.1621988,1.0
10/20/20,Περιφέρεια Αττικής,Αθήνα,Πλατεία Συντάγματος,3017,29,18.0,11.0,34.8,37.975525299999994,23.7349038,1.0
10/23/20,Περιφέρεια Αττικής,Νέα Σμύρνη,Πλατεία Νέας Σμύρνης,802,8,5.0,3.0,34.0,37.9466482,23.7146172,1.0
10/12/20,Περιφέρεια Αττικής,Νίκαια,Πλατεία Αγίου Νικολάου,677,7,3.0,4.0,32.0,37.9661956,23.647050600000004,1.0
12/3/20,Π.Ε. Αργολίδας,Ερμιονίδα,"Δίδυμα, Ερμιονίδα",111,1,1.0,,80.0,37.463403,23.1723945,0.9
11/28/20,Π.Ε. Τρικάλων,Καλαμπάκα,"Καλαμπάκα, Τρίκαλα",216,2,2.0,,39.0,39.706618,21.6288728,0.9
10/10/20,Περιφέρεια Αττικής,Πειραιάς,Δημοτικό θέατρο Πειραιά,638,6,3.0,3.0,47.0,37.9433016,23.6468891,0.9
12/7/20,Π.Ε. Κορινθίας,Άγιοι Θεόδωροι,"Άγιοι Θεόδωροι, Κορινθία",133,1,,1.0,45.0,37.9282447,23.1433311,0.8
12/3/20,Π.Ε. Έβρου,Αλεξανδρούπολη,"Πάρκο Φώτης Κοσμάς, Αλεξανδρούπολη",270,2,2.0,,32.0,40.8449191,25.862252,0.7
10/30/20,Π.Ε. Ιωαννίνων,Κόνιτσα,Δημαρχείο Κόνιτσας,147,1,1.0,0.0,39.0,40.0480719,20.7528378,0.7
12/1/20,Π.Ε. Αχαΐας,Αίγιο,"Μητροπόλεως & Σολωμού 5, Αίγιο",144,1,1.0,,54.0,37.9754994,23.7299785,0.7
