unique_code,price,AREA_SIZE,calculated_sqm,x,y,price_per_sqm
9313Ω9Ζ-ΣΜ3,224.53,64.151,100.48354964262444,2457839.1933000013,4632984.886299998,4.0
933ΔΗ-3Θ8,10000.0,3000.0,1749.5295456178264,2875048.1606999994,4990144.883166666,3.0
9340ΩΡ8-7Ε2,4500.0,300.0,448.2782860344279,2874494.7151000015,4164666.990500003,15.0
934ΕΩΗΝ-0Θ6,1986.0,86.351,140.91140680445096,2911400.0755000003,4624750.724200003,23.0
936ΦΗ-Ο26,1875.0,300.0,448.11315910789233,2815734.748300001,4161979.3922000006,6.0
936ΨΗ-Π77,2160.0,144.0,223.22121033989976,2493495.7256999984,4367183.524800003,15.0
938ΠΗ-ΠΥΓ,719.82,79.98100000000001,129.74510032240843,2694774.8004,4604810.400200002,9.0
9395Η-ΒΣ9,6162.5,493.0,771.4399049608725,2576827.0518999994,4569983.6492,12.0
93ΒΕΩ6Ι-ΧΦΝ,3615.0,990.0,837.2417921183267,2547551.5714999996,4820318.285150003,4.0
93ΓΚΩ1Ψ-3ΔΒ,8062.6,620.201,935.1839365705016,2732064.618999999,4214816.2359,13.0
93Δ4Η-ΤΙΤ,1924.29,98.99,161.4832342735765,2659722.3431,4633939.1565999985,19.0
93ΔΑΩ9Δ-ΗΕΕ,291.71,192.0,312.70163381852603,2521908.8619000018,4862711.811099999,2.0
93ΔΦΗ-2ΗΡ,26186.4,327.33,549.9718284352334,2209620.4651000015,4800355.401100002,80.0
93Ι7Ω9Ω-3ΚΟ,1504.5,177.0,307.99191524366614,2637730.8660000004,4966540.520800002,8.0
93Κ7Η-ΣΑΚ,6000.0,500.0,500.0,2619470.8588999994,4649858.119599998,12.0
93ΛΦΗ-Τ2Γ,3527.5,415.0,725.801991156052,2637778.099750001,4966733.798949998,8.0
93Μ2Η-ΧΟ5,2059.65,91.54,103.17022731489638,2551491.971000001,4514205.844499998,22.0
93ΝΑΗ-Ο01,3466.26,322.0,511.12480816684706,2821503.1252500005,4209659.219050001,11.0
93ΞΖΗ-ΑΦ7,4590.2,375.63,656.0321294530613,2660579.3511000015,4977630.0825999975,12.0
93ΞΦΩΡΗ-Π41,2590.0,500.0,795.1394964425479,2407079.791000001,4505869.543700002,5.0
93Ο2Η-9ΝΣ,356.0,39.0,61.72160111320669,2542173.9893999994,4478525.680500001,9.0
93ΟΤΩ9Δ-ΨΑΓ,1320.0,30.0,51.170787951260905,2521973.7787999995,4862689.259499997,44.0
93ΠΞΗ-ΒΛ9,4125.0,330.01,490.4663881617139,2552189.917800002,4580385.316699997,12.0
93ΡΠΩΡ8-ΦΧΒ,3000.0,200.0,299.2214757811301,2848078.8368000016,4164334.186099998,15.0
93Τ5Ω6Τ-3ΘΣ,3000.0,400.0,601.1869927795572,2732495.197900001,4180014.570299998,8.0
93ΤΣΗ-ΝΕΚ,3366.6666666666665,500.0,796.5910477727565,2383943.972100001,4528542.648699999,7.0
93Φ3Ω1Ψ-9ΥΝ,25380.3,846.0110000000001,1276.0727608502211,2727942.2148,4214095.640799999,30.0
93ΦΒΗ-4ΕΒ,5391.54,427.9,666.7400709265058,2507454.6948000006,4394096.037600003,13.0
940ΑΗ-ΖΧΒ,3898.8,324.90000000000003,558.4146282003393,2514506.8808999993,4900728.406999998,12.0
9436Η-2ΧΨ,552.48,23.021,24.532308557629943,2324372.3625999987,4690075.202399999,24.0
943ΧΩΚΞ-6ΑΜ,20000.0,1000.0,1510.2822282661114,2748234.854800001,4221003.616899997,20.0
