AREA_SIZE,x,y,price
120.0,2550408.1479,4383700.269299999,1800.0
50.0,2550246.0584000014,4939623.497100003,919.8
50.0,2636012.1831,4195231.627300002,8000.0
100.0,2585684.490600001,4694298.968999997,
100.0,2670724.534699999,4864648.216700003,
200.0,2611785.8949999996,4904157.093000002,
300.0,2635136.7676,4862177.249600001,
296.0,2515558.201699998,4904679.938199997,3552.0
500.0,2517804.8235,4923345.715499997,1500.0
60.0,2372352.093699999,4539879.2717999965,1080.0
200.0,2477912.174800001,4417495.708300002,
100.0,3037495.9001,4425049.829499997,
15.0,2936680.0746,4760399.145000003,
1000.0,2520665.0967999995,4863280.516599998,1519.32
1000.0,2520699.7870999984,4863264.686300002,1519.32
100.0,2823712.3911000006,4853366.778300002,
64.45100000000001,2468386.7983999997,4607925.199500002,412.23
500.0,2521212.4367999993,4862981.4553999975,5500.0
31.0,2643625.9168,4733976.790799998,
400.0,2790848.214299999,4209948.081900001,4600.0
515.0,2858276.791700002,4990960.864100002,
500.0,2705327.028900001,4985208.250600003,10500.0
13.701,2217915.6050999984,4794360.4507,87000.0
515.0,2858756.9043999985,4990857.384499997,
434.78,2258421.325199999,4772490.221299998,
500.0,2515527.9891999997,4867289.757100001,4000.0
83.57000000000001,2506903.0146999992,4395885.520499997,1002.84
396.0,2880539.0867,4166896.900200002,7440.0
124.0,2515542.3209999986,4867254.905500002,205.52
483.85,2515481.625,4867365.186899997,534.63
82.0,2516289.204599999,4866602.232500002,902.0
82.0,2516294.5051000006,4866606.0471,902.0
500.0,2515659.344700001,4867189.192699999,759.66
100.0,2517693.0025000013,4865392.1866,146.65
235.0,2518288.5604999997,4865009.088399999,
1808.08,2512180.0337000005,4876578.044799998,2747.04
100.0,2790569.4959000014,4209977.4362,4100.0
1605.0,2790257.3258999996,4210039.091700003,16050.0
300.0,2815415.4690000005,4209316.806599997,3399.0
300.0,2826734.7501000017,4207059.702500001,4200.0
400.0,2786767.6992999986,4218388.3549000025,10000.0
250.0,2831094.8555999994,4203880.361400001,3250.0
108.0,2831273.127700001,4203767.286200002,1404.0
191.0,2838771.2666999996,4161569.2795,764.0
260.0,2765860.404199999,4550345.283,6244.0
260.0,2765829.772599999,4550384.373800002,6244.0
40.0,2777733.1975999996,4546900.769500002,1120.0
210.0,2764994.7025999986,4566768.7804000005,3488.0
510.0,2755541.2238,4562297.6679000035,16624.0
513.0,2799165.136,4527412.445100002,5581.71
205.0,2802894.720400002,4513351.218800001,639.6
429.0,2803466.8828000017,4513048.3772,1649.12
399.0,2789540.270500001,4529735.276600003,23201.0
300.0,2806663.8488,4513675.377700001,702.0
30.0,2816063.9886999987,4209376.910099998,330.0
205.0,2792764.2897000015,4209849.860200003,2950.0
75.0,2792763.358100001,4209825.680100001,2950.0
500.0,2790064.5161000006,4210074.326800004,5000.0
